Dates,All in employment2,Public sector3,Private sector
Jan-Mar 1997,26244686,6074906,19955601
Apr-Jun 1997,26444241,6061238,20234428
Jul-Sep 1997,26707376,6004214,20558389
Oct-Dec 1997,26694841,6058821,20490402
Jan-Mar 1998,26546319,6045030,20370922
Apr-Jun 1998,26641902,6061516,20468658
Jul-Sep 1998,26968575,6024737,20819284
Oct-Dec 1998,27017323,6036610,20848142
Jan-Mar 1999,26908897,6086533,20690483
Apr-Jun 1999,27023090,6161924,20734997
Jul-Sep 1999,27351148,6110699,21109386
Oct-Dec 1999,27385177,6171044,21064771
Jan-Mar 2000,27238589,6213060,20906650
Apr-Jun 2000,27399081,6254441,21024433
Jul-Sep 2000,27684753,6253815,21301042
Oct-Dec 2000,27610751,6366400,21121888
Jan-Mar 2001,27504980,6385990,20992571
Apr-Jun 2001,27642630,6394100,21141373
Jul-Sep 2001,27837731,6280064,21439849
Oct-Dec 2001,27860233,6349888,21391872
Jan-Mar 2002,27688453,6383433,21187851
Apr-Jun 2002,27872759,6459770,21308563
Jul-Sep 2002,28050503,6470351,21469704
Oct-Dec 2002,28163898,6480058,21555767
Jan-Mar 2003,28001900,6560160,21298997
Apr-Jun 2003,28166343,6549492,21431136
Jul-Sep 2003,28366093,6569176,21654760
Oct-Dec 2003,28357957,6660263,21552563
Jan-Mar 2004,28371292,6783472,21452200
Apr-Jun 2004,28407112,6835813,21450744
Jul-Sep 2004,28627033,6871727,21635597
Oct-Dec 2004,28728378,6879768,21698938
Jan-Mar 2005,28704678,6956614,21599022
Apr-Jun 2005,28735009,6920425,21695437
Jul-Sep 2005,29035313,7021447,21899878
Oct-Dec 2005,28937601,7038690,21782208
Jan-Mar 2006,28965597,7129595,21734574
Apr-Jun 2006,29031509,7096078,21824010
Jul-Sep 2006,29288698,7017826,22165387
Oct-Dec 2006,29275999,6940282,22215556
Jan-Mar 2007,29108352,6954475,22039738
Apr-Jun 2007,29241891,6987465,22131057
Jul-Sep 2007,29524700,6919226,22466280
Oct-Dec 2007,29640043,7018223,22478728
Jan-Mar 2008,29595718,7046824,22404439
Apr-Jun 2008,29637062,7101476,22382862
Jul-Sep 2008,29684876,7038950,22508320
Oct-Dec 2008,29592601,7167027,22289298
Jan-Mar 2009,29276711,7224018,21913472
Apr-Jun 2009,29003292,7237863,21623640
Jul-Sep 2009,29170239,7277501,21744952
Oct-Dec 2009,29166812,7324124,21691148
Jan-Mar 2010,28923538,7254536,21488059
Apr-Jun 2010,29109713,7324762,21586175
Jul-Sep 2010,29483800,7298241,21972909
Oct-Dec 2010,29390416,7277523,21929368
Jan-Mar 2011,29349875,7314504,21841817
Apr-Jun 2011,29366969,7183265,22021487
Jul-Sep 2011,29376000,7008901,22215922
Oct-Dec 2011,29405113,6970086,22276329
Jan-Mar 2012,29365303,6951853,22208648
Apr-Jun 2012,29586796,6846229,22516791
Jul-Sep 2012,29850821,6882880,22721632
Oct-Dec 2012,29974375,6983958,22751914
Jan-Mar 2013,29749654,6988667,22503651
Apr-Jun 2013,29860615,6964541,22638175
Jul-Sep 2013,30194322,7012258,22932646
Oct-Dec 2013,30362490,6904037,23225833
Jan-Mar 2014,30445709,6934402,23310965
Apr-Jun 2014,30627950,6936349,23496813
Jul-Sep 2014,30918227,6913562,23807619
Oct-Dec 2014,31018177,6901381,23913534
Jan-Mar 2015,31074251,6979896,23915442
Apr-Jun 2015,31034988,6929401,23913367
Jul-Sep 2015,31416382,6851244,24376821
Oct-Dec 2015,31614521,6899992,24528304
Jan-Mar 2016,31498983,6924050,24414476
Apr-Jun 2016,31672719,6938659,24564012
Jul-Sep 2016,31890047,6908285,24829560
Oct-Dec 2016,31919549,6853290,24897556
Jan-Mar 2017,31877579,6839977,24876430
Apr-Jun 2017,31995756,6873559,24997580
Jul-Sep 2017,32137770,6841081,25175928
