Dates,"Agriculture, forestry & fishing","Mining, energy and water supply",Manufacturing,Construction,"Wholesale, retail & repair of motor vehicles",Transport & storage,Accommod-ation & food services,Information & communication,Financial & insurance activities,Real estate activities,"Professional, scientific & technical activities",Administrative & support services,Public admin & defence; social security,Education,Human health & social work activities,Other services,,,,
Jan-Mar 1997,407028.0483,368031.1618,4369762.784,1891314.035,3993437.254,1341578.787,1275183.453,742811.4639,1164417.166,196931.4836,1497510.851,1032336.132,1533700.727,2143260.254,2869298.415,1302041.984,,,,
Apr-Jun 1997,426129.7783,365991.7253,4343283.047,1926620.405,3963694.453,1362181.345,1308917.357,772783.6325,1176871.233,202953.527,1529268.983,1054462.983,1522789.404,2122135.191,2923559.679,1330909.258,,,,
Jul-Sep 1997,415833.7133,372446.4931,4419568.163,1945142.852,4020099.067,1398905.583,1368054.678,773860.22,1176002.067,197718.4787,1547010.619,1063191.173,1499034.824,2051084.103,3012038.481,1340027.486,,,,
Oct-Dec 1997,388656.5827,370144.3614,4384646.579,2014272.158,4051912.967,1401050.43,1310771.534,798529.553,1155562.563,193536.8292,1527276.189,1097337.7,1501777.834,2090056.222,2971569.402,1322094.096,,,,
Jan-Mar 1998,373773.4149,366876.1767,4317393.285,1970141.043,3996801.256,1371544.58,1267232.538,828529.5853,1176619.751,190730.0682,1555863.478,1101836.169,1497312.511,2130548.581,2971376.363,1325166.2,,,,
Apr-Jun 1998,384820.4807,364548.6743,4360395.5,1964273.602,3954634.646,1405486.999,1314582.656,826116.8686,1180536.062,190618.7611,1537002.692,1081064.691,1509816.559,2163679.533,2966353.395,1351018.881,,,,
Jul-Sep 1998,374892.5787,377030.8539,4392218.92,1983843.098,3997941.839,1468778.122,1326711.874,845925.464,1174782.171,187847.5169,1584852.984,1160170.641,1532164.452,2092211.289,3038457.328,1356235.87,,,,
Oct-Dec 1998,338911.7009,389250.4042,4319844.157,2016890.839,4088947.721,1484780.662,1270754.361,877607.7398,1159180.484,190914.0272,1618282.225,1140697.227,1534370.215,2190543.005,2974018.914,1340044.318,,,,
Jan-Mar 1999,332383.5713,386650.3931,4259841.428,1956426.495,4044008.27,1439745.363,1227529.787,896156.1925,1168606.223,204562.563,1650777.174,1138208.969,1526920.887,2282517.44,2978719.435,1315194.808,,,,
Apr-Jun 1999,340397.4752,379562.0918,4185046.521,1992381.85,4062591.832,1431448.203,1234998.999,914770.1507,1145459.928,192802.0761,1639217.989,1187253.565,1577784.181,2313047.693,2991983.608,1345167.836,,,,
Jul-Sep 1999,349750.7998,392349.3488,4243127.558,2009340.381,4125452.97,1479734.802,1261637.245,939189.0726,1176080.443,210587.706,1663393.962,1227090.122,1567617.578,2237607.927,2997862.073,1381537.013,,,,
Oct-Dec 1999,328378.2525,394052.9219,4198448.721,2028399.749,4144526.334,1470772.479,1239521.829,953733.264,1192088.101,199119.3842,1653976.198,1230928.979,1590904.835,2289793.696,2986451.461,1388471.796,,,,
Jan-Mar 2000,322586.4379,386422.4966,4098528.116,2013246.918,4106346.694,1472489.568,1201637.143,969816.2993,1198484.984,191748.2346,1642054.533,1233826.886,1610160.286,2373448.72,2948574.821,1376251.863,,,,
Apr-Jun 2000,335096.7724,404792.0091,4065732.688,2051315.236,4082017.054,1474894.7,1226862.573,994833.301,1193646.698,190424.9073,1650649.065,1236552.297,1644849.216,2349189.041,2994336.459,1406262.983,,,,
Jul-Sep 2000,336747.189,401770.8546,4062341.978,2074905.202,4091211.957,1533157.398,1277855.394,1031614.939,1239905.521,195891.0505,1663715.305,1287974.891,1684839.983,2288803.158,3029762.684,1400508.495,,,,
